Time,Channel A
(ms),(mV)

13.18911992,1.81890300
13.19423992,-9.31424900
13.19935992,1.81890300
13.20447992,1.81890300
13.20959992,-0.03662221
13.21471992,9.24100500
13.21983992,-1.89214800
13.22495992,-0.03662221
13.23007992,-7.45872400
13.23519992,-3.74767300
13.24031992,1.81890300
13.24543992,1.81890300
13.25055992,7.38547900
13.25567992,-1.89214800
13.26079992,1.81890300
13.26591992,-5.60319800
13.27103992,-5.60319800
13.27615992,1.81890300
13.28127992,3.67442800
13.28639992,-0.03662221
13.29151992,1.81890300
13.29663992,1.81890300
13.30175992,-9.31424900
13.30687992,-1.89214800
13.31199992,5.52995400
13.31711992,-3.74767300
13.32223992,7.38547900
13.32735992,5.52995400
13.33247992,-5.60319800
13.33759992,-0.03662221
13.34271992,-1.89214800
13.34783992,1.81890300
13.35295992,1.81890300
13.35807992,-0.03662221
13.36319992,5.52995400
13.36831992,-1.89214800
13.37343992,-5.60319800
13.37855992,-5.60319800
13.38367992,-0.03662221
13.38879992,3.67442800
13.39391992,5.52995400
13.39903992,-1.89214800
13.40415992,5.52995400
13.40927992,-1.89214800
13.41439992,-9.31424900
13.41951992,3.67442800
13.42463992,1.81890300
13.42975992,-0.03662221
13.43487992,9.24100500
13.43999992,1.81890300
13.44511992,-5.60319800
13.45023992,-9.31424900
13.45535992,7.38547900
13.46047992,-0.03662221
13.46559992,1.81890300
13.47071992,5.52995400
13.47583992,3.67442800
13.48095992,-0.03662221
13.48607992,-5.60319800
13.49119992,-1.89214800
13.49631992,5.52995400
13.50143992,-0.03662221
13.50655992,5.52995400
13.51167992,-1.89214800
13.51679992,1.81890300
13.52191992,-7.45872400
13.52703992,-1.89214800
13.53215992,5.52995400
13.53727992,-1.89214800
13.54239992,5.52995400
13.54751992,3.67442800
13.55263992,-1.89214800
13.55775992,-3.74767300
13.56287992,-3.74767300
13.56799992,7.38547900
13.57311992,1.81890300
13.57823992,-0.03662221
13.58335992,1.81890300
13.58847992,5.52995400
13.59359992,-9.31424900
13.59871992,-5.60319800
13.60383992,5.52995400
13.60895992,-1.89214800
13.61407992,1.81890300
13.61919992,9.24100500
13.62431992,-0.03662221
13.62943992,-5.60319800
13.63455992,-3.74767300
13.63967992,7.38547900
13.64479992,-1.89214800
13.64991992,-0.03662221
13.65503992,3.67442800
13.66015992,1.81890300
13.66527992,-5.60319800
13.67039992,-7.45872400
13.67551992,1.81890300
13.68063992,-1.89214800
13.68575992,1.81890300
13.69087992,7.38547900
13.69599992,-0.03662221
13.70111992,1.81890300
13.70623992,-5.60319800
13.71135992,-1.89214800
13.71647992,5.52995400
13.72159992,3.67442800
13.72671992,5.52995400
13.73183992,1.81890300
13.73695992,-5.60319800
13.74207992,-5.60319800
13.74719992,-3.74767300
13.75231992,1.81890300
13.75743992,1.81890300
13.76255992,5.52995400
13.76767992,7.38547900
13.77279992,-9.31424900
13.77791992,-0.03662221
13.78303992,3.67442800
13.78815992,-3.74767300
13.79327992,1.81890300
13.79839992,9.24100500
13.80351992,-1.89214800
13.80863992,-1.89214800
13.81375992,-3.74767300
13.81887992,-5.60319800
13.82399992,1.81890300
13.82911992,1.81890300
13.83423992,3.67442800
13.83935992,7.38547900
